iter	Passed	Remaining
0	178	178712
1	183	91669
2	189	63079
3	194	48387
4	198	39588
5	202	33583
6	206	29314
7	210	26129
8	214	23640
9	218	21646
10	222	20019
11	226	18652
12	230	17505
13	234	16492
14	237	15617
15	241	14874
16	246	14248
17	251	13696
18	255	13181
19	259	12694
20	263	12285
21	267	11895
22	271	11542
23	275	11200
24	279	10894
25	283	10605
26	287	10344
27	291	10120
28	294	9876
29	298	9661
30	302	9459
31	306	9280
32	310	9103
33	314	8944
34	318	8791
35	323	8657
36	328	8539
37	332	8417
38	336	8301
39	341	8198
40	345	8078
41	349	7966
42	353	7861
43	357	7761
44	361	7669
45	364	7569
46	369	7485
47	373	7406
48	377	7324
49	381	7245
50	385	7171
51	389	7105
52	393	7031
53	397	6958
54	401	6906
55	405	6840
56	409	6775
57	413	6710
58	417	6658
59	421	6602
60	425	6544
61	429	6492
62	432	6437
63	436	6385
64	440	6332
65	444	6292
66	448	6248
67	452	6203
68	456	6157
69	460	6113
70	464	6073
71	467	6029
72	471	5985
73	475	5947
74	479	5908
75	483	5874
76	484	5809
77	488	5772
78	492	5736
79	496	5707
80	499	5670
81	503	5638
82	507	5605
83	511	5575
84	514	5543
85	518	5511
86	522	5483
87	526	5451
88	529	5423
89	533	5394
90	537	5368991	540	5338992	544	5309993	548	5282994	552	5259
95	556	5236
96	560	5216
97	563	5190
98	567	5165
99	571	51411100	574	51171101	578	50931102	582	50731103	586	50511104	589	50281105	593	50071106	597	49851107	601	4970
108	605	4949
109	608	4927
110	612	4906
111	616	4884
112	619	4866
113	623	4844
114	627	4827
115	630	4807
116	634	4788
117	638	4769
118	642	4753
119	646	4739
120	649	4720
121	653	4703
122	657	4689
123	661	4675
124	665	4660
125	669	4643
126	673	4630
127	677	4612
128	680	4596
129	684	4580
130	687	4563
131	691	4547
132	695	4533
133	699	4518
134	702	4501
135	706	4488
136	710	4472
137	713	44571138	717	44441139	721	4433
140	725	4417
141	729	4408
142	733	4394
143	736	4380
144	740	4369
145	744	4355
146	748	4343
